period,reporter,reporter_label,partner,partner_label,partner_basis,cn8_code,product_label,value_eur,rank,share_of_country_partner_rows_pct,method_note,source_url
2025,BE,Belgium (incl. Luxembourg 'LU' -> 1998),CN,China,extra-EU country of origin,24041200,"Products containing nicotine, intended for inhalation without combustion (excl. containing tobacco or reconstituted tobacco)",89470413,1,84.86782947103019,"Extra-EU partner is origin; intra-EU partner is Member State of consignment, so hub countries may mask original origin.",https://ec.europa.eu/eurostat/api/comext/dissemination/statistics/1.0/data/DS-045409?freq=A&reporter=EU27_2020&reporter=AT&reporter=BE&reporter=DE&reporter=DK&reporter=ES&reporter=FI&reporter=FR&reporter=IT&reporter=LU&reporter=NL&reporter=PL&reporter=SE&product=85434000&product=24041200&product=24041910&product=24041990&flow=1&indicators=VALUE_IN_EUROS&time=2025&lang=en
2025,BE,Belgium (incl. Luxembourg 'LU' -> 1998),DE,Germany (incl. German Democratic Republic 'DD' from 1991),intra-EU country of consignment,24041200,"Products containing nicotine, intended for inhalation without combustion (excl. containing tobacco or reconstituted tobacco)",7823592,2,7.421126710423434,"Extra-EU partner is origin; intra-EU partner is Member State of consignment, so hub countries may mask original origin.",https://ec.europa.eu/eurostat/api/comext/dissemination/statistics/1.0/data/DS-045409?freq=A&reporter=EU27_2020&reporter=AT&reporter=BE&reporter=DE&reporter=DK&reporter=ES&reporter=FI&reporter=FR&reporter=IT&reporter=LU&reporter=NL&reporter=PL&reporter=SE&product=85434000&product=24041200&product=24041910&product=24041990&flow=1&indicators=VALUE_IN_EUROS&time=2025&lang=en
2025,BE,Belgium (incl. Luxembourg 'LU' -> 1998),HR,Croatia,intra-EU country of consignment,24041200,"Products containing nicotine, intended for inhalation without combustion (excl. containing tobacco or reconstituted tobacco)",3579635,3,3.395489554167266,"Extra-EU partner is origin; intra-EU partner is Member State of consignment, so hub countries may mask original origin.",https://ec.europa.eu/eurostat/api/comext/dissemination/statistics/1.0/data/DS-045409?freq=A&reporter=EU27_2020&reporter=AT&reporter=BE&reporter=DE&reporter=DK&reporter=ES&reporter=FI&reporter=FR&reporter=IT&reporter=LU&reporter=NL&reporter=PL&reporter=SE&product=85434000&product=24041200&product=24041910&product=24041990&flow=1&indicators=VALUE_IN_EUROS&time=2025&lang=en
2025,BE,Belgium (incl. Luxembourg 'LU' -> 1998),FR,"France (incl. Saint Barthélemy 'BL' -> 2012; incl. French Guiana 'GF', Guadeloupe 'GP', Martinique 'MQ', Réunion 'RE' from 1997; incl. Mayotte 'YT' from 2014)",intra-EU country of consignment,24041200,"Products containing nicotine, intended for inhalation without combustion (excl. containing tobacco or reconstituted tobacco)",1363562,4,1.2934169342571031,"Extra-EU partner is origin; intra-EU partner is Member State of consignment, so hub countries may mask original origin.",https://ec.europa.eu/eurostat/api/comext/dissemination/statistics/1.0/data/DS-045409?freq=A&reporter=EU27_2020&reporter=AT&reporter=BE&reporter=DE&reporter=DK&reporter=ES&reporter=FI&reporter=FR&reporter=IT&reporter=LU&reporter=NL&reporter=PL&reporter=SE&product=85434000&product=24041200&product=24041910&product=24041990&flow=1&indicators=VALUE_IN_EUROS&time=2025&lang=en
2025,BE,Belgium (incl. Luxembourg 'LU' -> 1998),PL,Poland,intra-EU country of consignment,24041200,"Products containing nicotine, intended for inhalation without combustion (excl. containing tobacco or reconstituted tobacco)",1300976,5,1.2340505158269803,"Extra-EU partner is origin; intra-EU partner is Member State of consignment, so hub countries may mask original origin.",https://ec.europa.eu/eurostat/api/comext/dissemination/statistics/1.0/data/DS-045409?freq=A&reporter=EU27_2020&reporter=AT&reporter=BE&reporter=DE&reporter=DK&reporter=ES&reporter=FI&reporter=FR&reporter=IT&reporter=LU&reporter=NL&reporter=PL&reporter=SE&product=85434000&product=24041200&product=24041910&product=24041990&flow=1&indicators=VALUE_IN_EUROS&time=2025&lang=en
2025,BE,Belgium (incl. Luxembourg 'LU' -> 1998),ES,Spain (incl. Canary Islands 'XB' from 1997),intra-EU country of consignment,24041910,"Products containing tobacco substitutes, intended for inhalation without combustion (excl. containing nicotine)",725730,1,83.42241932257865,"Extra-EU partner is origin; intra-EU partner is Member State of consignment, so hub countries may mask original origin.",https://ec.europa.eu/eurostat/api/comext/dissemination/statistics/1.0/data/DS-045409?freq=A&reporter=EU27_2020&reporter=AT&reporter=BE&reporter=DE&reporter=DK&reporter=ES&reporter=FI&reporter=FR&reporter=IT&reporter=LU&reporter=NL&reporter=PL&reporter=SE&product=85434000&product=24041200&product=24041910&product=24041990&flow=1&indicators=VALUE_IN_EUROS&time=2025&lang=en
2025,BE,Belgium (incl. Luxembourg 'LU' -> 1998),FR,"France (incl. Saint Barthélemy 'BL' -> 2012; incl. French Guiana 'GF', Guadeloupe 'GP', Martinique 'MQ', Réunion 'RE' from 1997; incl. Mayotte 'YT' from 2014)",intra-EU country of consignment,24041910,"Products containing tobacco substitutes, intended for inhalation without combustion (excl. containing nicotine)",108342,2,12.453876447503639,"Extra-EU partner is origin; intra-EU partner is Member State of consignment, so hub countries may mask original origin.",https://ec.europa.eu/eurostat/api/comext/dissemination/statistics/1.0/data/DS-045409?freq=A&reporter=EU27_2020&reporter=AT&reporter=BE&reporter=DE&reporter=DK&reporter=ES&reporter=FI&reporter=FR&reporter=IT&reporter=LU&reporter=NL&reporter=PL&reporter=SE&product=85434000&product=24041200&product=24041910&product=24041990&flow=1&indicators=VALUE_IN_EUROS&time=2025&lang=en
2025,BE,Belgium (incl. Luxembourg 'LU' -> 1998),IT,Italy (incl. San Marino 'SM' -> 1993),intra-EU country of consignment,24041910,"Products containing tobacco substitutes, intended for inhalation without combustion (excl. containing nicotine)",35613,3,4.09370236773317,"Extra-EU partner is origin; intra-EU partner is Member State of consignment, so hub countries may mask original origin.",https://ec.europa.eu/eurostat/api/comext/dissemination/statistics/1.0/data/DS-045409?freq=A&reporter=EU27_2020&reporter=AT&reporter=BE&reporter=DE&reporter=DK&reporter=ES&reporter=FI&reporter=FR&reporter=IT&reporter=LU&reporter=NL&reporter=PL&reporter=SE&product=85434000&product=24041200&product=24041910&product=24041990&flow=1&indicators=VALUE_IN_EUROS&time=2025&lang=en
2025,BE,Belgium (incl. Luxembourg 'LU' -> 1998),US,United States (incl. Navassa Island (part of 'UM') from 1995 -> 2000),extra-EU country of origin,24041910,"Products containing tobacco substitutes, intended for inhalation without combustion (excl. containing nicotine)",130,4,0.014943456260503526,"Extra-EU partner is origin; intra-EU partner is Member State of consignment, so hub countries may mask original origin.",https://ec.europa.eu/eurostat/api/comext/dissemination/statistics/1.0/data/DS-045409?freq=A&reporter=EU27_2020&reporter=AT&reporter=BE&reporter=DE&reporter=DK&reporter=ES&reporter=FI&reporter=FR&reporter=IT&reporter=LU&reporter=NL&reporter=PL&reporter=SE&product=85434000&product=24041200&product=24041910&product=24041990&flow=1&indicators=VALUE_IN_EUROS&time=2025&lang=en
2025,BE,Belgium (incl. Luxembourg 'LU' -> 1998),CN,China,extra-EU country of origin,24041910,"Products containing tobacco substitutes, intended for inhalation without combustion (excl. containing nicotine)",62,5,0.007126879139624759,"Extra-EU partner is origin; intra-EU partner is Member State of consignment, so hub countries may mask original origin.",https://ec.europa.eu/eurostat/api/comext/dissemination/statistics/1.0/data/DS-045409?freq=A&reporter=EU27_2020&reporter=AT&reporter=BE&reporter=DE&reporter=DK&reporter=ES&reporter=FI&reporter=FR&reporter=IT&reporter=LU&reporter=NL&reporter=PL&reporter=SE&product=85434000&product=24041200&product=24041910&product=24041990&flow=1&indicators=VALUE_IN_EUROS&time=2025&lang=en
