"Produkt mærke, Produkt navn";Produkttype;"Produkt Id";"Indberetter navn";Indberetningsdato
"Hangsen - Atom Mountain 0mg/ml 70PG/30VG";"Refill container/cartridge containing e-liquid.";00409-19-20280;"HANGSEN Sp.z o.o.";29-06-2021
"iSmoke - 0mg Original";"Refill container/cartridge containing e-liquid.";00226-16-00008;"DOIT Denmark ApS";24-03-2021
"TRUE VAPOR - Danish 0mg 70PG/30VG";"Refill container/cartridge containing e-liquid.";00409-19-22410;"HANGSEN Sp.z o.o.";29-06-2021
"Hangsen - Atom Hs 0mg/ml 70PG/30VG";"Refill container/cartridge containing e-liquid.";00409-16-20360;"HANGSEN Sp.z o.o.";29-06-2021
"INSANO - Brown 0 MG 70PG/30VG";"Refill container/cartridge containing e-liquid.";00409-19-22390;"HANGSEN Sp.z o.o.";29-06-2021
"Hangsen - Atom Ry6 0mg/ml 70PG/30VG";"Refill container/cartridge containing e-liquid.";00409-19-22410;"HANGSEN Sp.z o.o.";29-06-2021
"Hangsen - RY4 0mg 70PG/30VG";"Refill container/cartridge containing e-liquid.";00409-18-20480;"HANGSEN Sp.z o.o.";29-06-2021
"True Vapor - Danish Tobacco 0mg/ml";"Refill container/cartridge containing e-liquid.";00409-19-22410;"HANGSEN Sp.z o.o.";29-06-2021
"Hangsen - HS Menthol Sensation 0mg 70PG/30VG";"Refill container/cartridge containing e-liquid.";00409-16-20360;"HANGSEN Sp.z o.o.";29-06-2021
"Holmegaard - Sp arctic 0mg 70PG/30VG";"Refill container/cartridge containing e-liquid.";00409-19-20280;"HANGSEN Sp.z o.o.";29-06-2021
"InSano - USA Mix 0mg/ml";"Refill container/cartridge containing e-liquid.";00409-18-20530;"HANGSEN Sp.z o.o.";29-06-2021
"INSANO - HS Menthol Sensation 0 mg/ml";"Refill container/cartridge containing e-liquid.";00409-16-20360;"HANGSEN Sp.z o.o.";29-06-2021
"Hangsen - Tobacco 0mg 70PG/30VG";"Refill container/cartridge containing e-liquid.";00409-19-22390;"HANGSEN Sp.z o.o.";29-06-2021
"Holmegaard - Hs blue 0mg 70PG/30VG";"Refill container/cartridge containing e-liquid.";00409-16-20360;"HANGSEN Sp.z o.o.";29-06-2021
"iSmoke - 18mg Original";"Refill container/cartridge containing e-liquid.";00226-16-00003;"DOIT Denmark ApS";15-11-2016
"True Vapor - Original 0mg/ml";"Refill container/cartridge containing e-liquid.";00409-19-22390;"HANGSEN Sp.z o.o.";29-06-2021
"INSANO - White 0 MG 70PG/30VG";"Refill container/cartridge containing e-liquid.";00409-19-20280;"HANGSEN Sp.z o.o.";29-06-2021
"Holmegaard - Usa mix 0mg 70PG/30VG";"Refill container/cartridge containing e-liquid.";00409-18-20530;"HANGSEN Sp.z o.o.";29-06-2021
"iSmoke - 18mg Intens";"Refill container/cartridge containing e-liquid.";00226-16-00005;"DOIT Denmark ApS";15-11-2016
"SMARTDAMP - Super Mint-0mg/ml";"Refill container/cartridge containing e-liquid.";00409-19-20280;"HANGSEN Sp.z o.o.";29-06-2021
"Innokin - Proton Mini batteri";Other;02828-20-50064;"Insano Aps";05-11-2020
"Holmegaard - Menthol 0mg 70PG/30VG";"Refill container/cartridge containing e-liquid.";00409-18-20260;"HANGSEN Sp.z o.o.";09-05-2022
"TRUE VAPOR - Menthol 0mg/ml";"Refill container/cartridge containing e-liquid.";00409-18-20260;"HANGSEN Sp.z o.o.";09-05-2022
"InSano - Super Menthol-0mg/ml";"Refill container/cartridge containing e-liquid.";00409-19-20280;"HANGSEN Sp.z o.o.";29-06-2021
"inSano - 250 ml. base 50VG/50PG";Other;02828-21-20015;"Insano Aps";13-07-2021
"Fjör - Pod kit - Pink";Other;02828-20-50063;"Insano Aps";22-12-2020
"Insano Nikotinfri Base - 100VG 0 ML/MG";"Refill container/cartridge containing e-liquid.";02828-21-20009;"Insano Aps";13-07-2021
"INSANO - Pr 0 MG 70PG/30VG";"Refill container/cartridge containing e-liquid.";00409-19-20540;"HANGSEN Sp.z o.o.";29-06-2021
"Fjör - Pod kit - Silver";Other;02828-20-50063;"Insano Aps";22-12-2020
"Hangsen - PR Tobacco 0mg 70PG/30VG";"Refill container/cartridge containing e-liquid.";00409-19-20540;"HANGSEN Sp.z o.o.";29-06-2021
"Holmegaard - Spearmint 0mg 70PG/30VG";"Refill container/cartridge containing e-liquid.";00409-19-20290;"HANGSEN Sp.z o.o.";29-06-2021
"inSano - 250 ml. base 70VG/30PG";Other;02828-21-20013;"Insano Aps";13-07-2021
"Unik Glas Drip Tip - Nr. 3 Sølv Lige";Other;02828-19-70022;"Insano Aps";11-10-2019
"Vozol Ace go kit Silver";"Kit – Pack containing more than one different e-cigarette device and/or more than one different refill container/cartridge.";02828-25-80142;"Insano Aps";26-05-2025
"Holmegaard - Pr brown 0mg 70PG/30VG";"Refill container/cartridge containing e-liquid.";00409-19-20540;"HANGSEN Sp.z o.o.";29-06-2021
"Insano Nikotinfri Base - 70VG/30PG 0 MG/ML";"Refill container/cartridge containing e-liquid.";02828-21-20006;"Insano Aps";13-07-2021
"Innokin - Coolfire Z50 MOD - Gunmetal";Other;02828-20-50060;"Insano Aps";10-06-2020
"TRUE VAPOR - Classic green 0 mg 70PG/30VG";"Refill container/cartridge containing e-liquid.";00409-19-20290;"HANGSEN Sp.z o.o.";29-06-2021
"SMARTDAMP - Menthol 0mg/ml";"Refill container/cartridge containing e-liquid.";00409-18-20260;"HANGSEN Sp.z o.o.";09-05-2022
"Holmegaard - PR Tobacco 0mg 70PG/30VG";"Refill container/cartridge containing e-liquid.";00409-19-20540;"HANGSEN Sp.z o.o.";29-06-2021
"Insano Nikotinfri Base - 50VG/50PG 0 ML/MG";"Refill container/cartridge containing e-liquid.";02828-21-20007;"Insano Aps";13-07-2021
"HANGSEN - Menthol 0mg/ml";"Refill container/cartridge containing e-liquid.";00409-18-20260;"HANGSEN Sp.z o.o.";09-05-2022
"Hangsen - Atom Spear 0mg/ml 70PG/30VG";"Refill container/cartridge containing e-liquid.";00409-19-20290;"HANGSEN Sp.z o.o.";29-06-2021
"Hangsen - Atom Crystal 0mg/ml 70PG/30VG";"Refill container/cartridge containing e-liquid.";00409-18-20260;"HANGSEN Sp.z o.o.";09-05-2022
"InSano - Spearmenthol-0mg/ml";"Refill container/cartridge containing e-liquid.";00409-19-20290;"HANGSEN Sp.z o.o.";29-06-2021
"Hangsen - Spearmint 0mg 70PG/30VG";"Refill container/cartridge containing e-liquid.";00409-19-20290;"HANGSEN Sp.z o.o.";29-06-2021
"Vozol Ace go kit Blue violet";"Kit – Pack containing more than one different e-cigarette device and/or more than one different refill container/cartridge.";02828-25-80142;"Insano Aps";26-05-2025
"SMARTDAMP - Spearmint-0mg/ml";"Refill container/cartridge containing e-liquid.";00409-19-20290;"HANGSEN Sp.z o.o.";29-06-2021
"Fjör - Pod kit - Black";Other;02828-20-50063;"Insano Aps";22-12-2020
"Vozol Ace go kit Black";"Kit – Pack containing more than one different e-cigarette device and/or more than one different refill container/cartridge.";02828-25-80142;"Insano Aps";26-05-2025
"Holmegaard - Blue 0mg 70PG/30VG";"Refill container/cartridge containing e-liquid.";00409-18-20260;"HANGSEN Sp.z o.o.";09-05-2022
"InSano - PR Tobacco-0mg/ml";"Refill container/cartridge containing e-liquid.";00409-19-20540;"HANGSEN Sp.z o.o.";29-06-2021
"Hangsen - Atom Pr 0mg/ml 70PG/30VG";"Refill container/cartridge containing e-liquid.";00409-19-20540;"HANGSEN Sp.z o.o.";29-06-2021
"Innokin - Coolfire Z50 MOD - Black";Other;02828-20-50060;"Insano Aps";10-06-2020
"SMARTDAMP - PR Tobacco-0mg/ml";"Refill container/cartridge containing e-liquid.";00409-19-20540;"HANGSEN Sp.z o.o.";29-06-2021
"INSANO - Blue 0 MG 70PG/30VG";"Refill container/cartridge containing e-liquid.";00409-18-20260;"HANGSEN Sp.z o.o.";09-05-2022
"OBS - Cube FP Mod";Other;02828-20-60052;"Insano Aps";26-08-2020
"Fjör - Pod kit - Brown";Other;02828-20-50063;"Insano Aps";22-12-2020
