"Produkt mærke, Produkt navn";Produkttype;"Produkt Id";"Indberetter navn";Indberetningsdato
"TRUE VAPOR - Blue 12 mg 50PG/50VG";"Refill container/cartridge containing e-liquid.";00409-22-72592;"HANGSEN Sp.z o.o.";30-03-2022
"Vaporesso - Gtx 0.3 mesh coil";"Individual part of electronic cigarette capable of containing e-liquid.";00219-26-36315;"Efuma Aps";13-05-2026
"Classic 10 ml - 50/50 12";"Refill container/cartridge containing e-liquid.";12542-24-00006;"DKCIG ApS";05-09-2024
"Holmegaard - Sw blue 6mg 50PG/50VG";"Refill container/cartridge containing e-liquid.";00409-22-72581;"HANGSEN Sp.z o.o.";30-03-2022
"Holmegaard - Pr brown 6mg 70PG/30VG";"Refill container/cartridge containing e-liquid.";00409-16-20881;"HANGSEN Sp.z o.o.";15-11-2016
"Holmegaard - Pr brown 18mg 70PG/30VG";"Refill container/cartridge containing e-liquid.";00409-16-20543;"HANGSEN Sp.z o.o.";11-11-2016
"True Vapor - Royal 6 mg/ml";"Refill container/cartridge containing e-liquid.";00409-16-20881;"HANGSEN Sp.z o.o.";15-11-2016
"TRUE VAPOR - Green 6 mg 50PG/50VG";"Refill container/cartridge containing e-liquid.";00409-22-72641;"HANGSEN Sp.z o.o.";30-03-2022
"SMARTDAMP - RY6 18mg/ml";"Refill container/cartridge containing e-liquid.";00409-16-20373;"HANGSEN Sp.z o.o.";11-11-2016
"TRUE VAPOR - Danish 6mg 70PG/30VG";"Refill container/cartridge containing e-liquid.";00409-16-20371;"HANGSEN Sp.z o.o.";11-11-2016
"Holmegaard - Sp arctic 12mg 70PG/30VG";"Refill container/cartridge containing e-liquid.";00409-16-20892;"HANGSEN Sp.z o.o.";15-11-2016
"INSANO - White 18 MG 70PG/30VG";"Refill container/cartridge containing e-liquid.";00409-16-20283;"HANGSEN Sp.z o.o.";11-11-2016
"SALT PRO device";"Electronic cigarette – Rechargeable, device only Any rechargeable which can also be used as a refillable should be reported under the refillable category.";01553-25-00516;"Pro Vape Ltd";08-10-2025
"Hangsen - Atom Mountain 18mg/ml 70PG/30VG";"Refill container/cartridge containing e-liquid.";00409-16-20283;"HANGSEN Sp.z o.o.";11-11-2016
"TRUE VAPOR - Frozen 12 mg 50PG/50VG";"Refill container/cartridge containing e-liquid.";00409-22-72832;"HANGSEN Sp.z o.o.";30-03-2022
"Holmegaard - Fz blue 12mg 50PG/50VG";"Refill container/cartridge containing e-liquid.";00409-22-72832;"HANGSEN Sp.z o.o.";30-03-2022
"TRUE VAPOR - Danish18mg70PG/30VG";"Refill container/cartridge containing e-liquid.";00409-16-20373;"HANGSEN Sp.z o.o.";11-11-2016
"SALT SLIM refillable POD 2 ml";"Individual part of electronic cigarette capable of containing e-liquid.";01553-25-00645;"Pro Vape Ltd";29-09-2025
"SMARTDAMP - RY6 6mg/ml";"Refill container/cartridge containing e-liquid.";00409-16-20371;"HANGSEN Sp.z o.o.";11-11-2016
"Holmegaard - Polar blue 12mg 50PG/50VG";"Refill container/cartridge containing e-liquid.";00409-22-72622;"HANGSEN Sp.z o.o.";30-03-2022
"TRUE VAPOR - Arctic 12 mg 70PG/30VG";"Refill container/cartridge containing e-liquid.";00409-16-20892;"HANGSEN Sp.z o.o.";15-11-2016
"Holmegaard - Arctic blue 6mg 50PG/50VG";"Refill container/cartridge containing e-liquid.";00409-22-72641;"HANGSEN Sp.z o.o.";30-03-2022
"SMARTDAMP - RY6 12mg/ml";"Refill container/cartridge containing e-liquid.";00409-16-20372;"HANGSEN Sp.z o.o.";11-11-2016
"Hangsen - Atom RY6 18mg/ml 70%PG30%VG";"Refill container/cartridge containing e-liquid.";00409-16-20373;"HANGSEN Sp.z o.o.";11-11-2016
"INSANO - Silver 6 MG 50PG/50VG";"Refill container/cartridge containing e-liquid.";00409-22-72851;"HANGSEN Sp.z o.o.";30-03-2022
"TRUE VAPOR - Polar 12 mg 50PG/50VG";"Refill container/cartridge containing e-liquid.";00409-22-72622;"HANGSEN Sp.z o.o.";30-03-2022
"Holmegaard - Silver brown 6mg 50PG/50VG";"Refill container/cartridge containing e-liquid.";00409-22-72851;"HANGSEN Sp.z o.o.";30-03-2022
"InSano - RY6 6mg/ml";"Refill container/cartridge containing e-liquid.";00409-16-20371;"HANGSEN Sp.z o.o.";11-11-2016
"INSANO - Grey 12 MG 50PG/50VG";"Refill container/cartridge containing e-liquid.";00409-22-72622;"HANGSEN Sp.z o.o.";30-03-2022
"INSANO - Hs green 6 MG 50PG/50VG";"Refill container/cartridge containing e-liquid.";00409-22-72641;"HANGSEN Sp.z o.o.";30-03-2022
"Hangsen - Atom Freeze 12mg/ml 50PG/50VG";"Refill container/cartridge containing e-liquid.";00409-22-72622;"HANGSEN Sp.z o.o.";30-03-2022
"Holmegaard - Ry6 18mg 70PG/30VG";"Refill container/cartridge containing e-liquid.";00409-16-20373;"HANGSEN Sp.z o.o.";11-11-2016
"Holmegaard - RY6 6mg 70PG/30VG";"Refill container/cartridge containing e-liquid.";00409-16-20371;"HANGSEN Sp.z o.o.";11-11-2016
"InSano - RY6 12mg/ml";"Refill container/cartridge containing e-liquid.";00409-16-20372;"HANGSEN Sp.z o.o.";11-11-2016
"Hangsen - Atom Ry6 18mg/ml 70PG/30VG";"Refill container/cartridge containing e-liquid.";00409-16-20373;"HANGSEN Sp.z o.o.";11-11-2016
"Hangsen - Atom RY6 12mg/ml 70%PG30%VG";"Refill container/cartridge containing e-liquid.";00409-16-20372;"HANGSEN Sp.z o.o.";11-11-2016
"TRUE VAPOR - Danish 12mg 70PG/30VG";"Refill container/cartridge containing e-liquid.";00409-16-20372;"HANGSEN Sp.z o.o.";11-11-2016
"Hangsen - Atom RY6 6mg/ml 70%PG30%VG";"Refill container/cartridge containing e-liquid.";00409-16-20371;"HANGSEN Sp.z o.o.";11-11-2016
"TRUE VAPOR - Breeze 6 mg 50PG/50VG";"Refill container/cartridge containing e-liquid.";00409-22-72701;"HANGSEN Sp.z o.o.";30-03-2022
"Holmegaard - Ul blue 6mg 50PG/50VG";"Refill container/cartridge containing e-liquid.";00409-22-72701;"HANGSEN Sp.z o.o.";30-03-2022
"TRUE VAPOR - Silver 6 mg 50PG/50VG";"Refill container/cartridge containing e-liquid.";00409-22-72851;"HANGSEN Sp.z o.o.";30-03-2022
"Holmegaard - RY6 12mg 70PG/30VG";"Refill container/cartridge containing e-liquid.";00409-16-20372;"HANGSEN Sp.z o.o.";11-11-2016
"Holmegaard - Ry6 12mg 70PG/30VG";"Refill container/cartridge containing e-liquid.";00409-16-20372;"HANGSEN Sp.z o.o.";11-11-2016
"Hangsen - Atom Spr 6mg/ml 50PG/50VG";"Refill container/cartridge containing e-liquid.";00409-22-72641;"HANGSEN Sp.z o.o.";30-03-2022
"INSANO - White 12 MG 70PG/30VG";"Refill container/cartridge containing e-liquid.";00409-16-20892;"HANGSEN Sp.z o.o.";15-11-2016
"Hangsen - Atom Ry6 12mg/ml 70PG/30VG";"Refill container/cartridge containing e-liquid.";00409-16-20372;"HANGSEN Sp.z o.o.";11-11-2016
"Holmegaard - Ul blue 12mg 50PG/50VG";"Refill container/cartridge containing e-liquid.";00409-22-72712;"HANGSEN Sp.z o.o.";30-03-2022
"TRUE VAPOR - Breeze 12 mg 50PG/50VG";"Refill container/cartridge containing e-liquid.";00409-22-72712;"HANGSEN Sp.z o.o.";30-03-2022
"INSANO - Deep 12 MG 50PG/50VG";"Refill container/cartridge containing e-liquid.";00409-22-72832;"HANGSEN Sp.z o.o.";30-03-2022
"TRUE VAPOR - Arctic 18 mg 70PG/30VG";"Refill container/cartridge containing e-liquid.";00409-16-20283;"HANGSEN Sp.z o.o.";11-11-2016
"Hangsen - Atom Mountain 12mg/ml 70PG/30VG";"Refill container/cartridge containing e-liquid.";00409-16-20892;"HANGSEN Sp.z o.o.";15-11-2016
"Holmegaard - Ry6 6mg 70PG/30VG";"Refill container/cartridge containing e-liquid.";00409-16-20371;"HANGSEN Sp.z o.o.";11-11-2016
"INSANO - Dark 12 MG 50PG/50VG";"Refill container/cartridge containing e-liquid.";00409-22-72712;"HANGSEN Sp.z o.o.";30-03-2022
"Hangsen - Atom Ry6 6mg/ml 70PG/30VG";"Refill container/cartridge containing e-liquid.";00409-16-20371;"HANGSEN Sp.z o.o.";11-11-2016
"SALT SLIM device";"Electronic cigarette – Rechargeable, device only Any rechargeable which can also be used as a refillable should be reported under the refillable category.";01553-25-00501;"Pro Vape Ltd";24-04-2025
"Holmegaard - RY6 18mg 70PG/30VG";"Refill container/cartridge containing e-liquid.";00409-16-20373;"HANGSEN Sp.z o.o.";11-11-2016
"Holmegaard - Sp arctic 18mg 70PG/30VG";"Refill container/cartridge containing e-liquid.";00409-16-20283;"HANGSEN Sp.z o.o.";11-11-2016
"InSano - RY6 18mg/ml";"Refill container/cartridge containing e-liquid.";00409-16-20373;"HANGSEN Sp.z o.o.";11-11-2016
"Smok - Majesty resin edition 225w tc box mod, yellow resin";Other;00219-17-12669;"Efuma Aps";06-10-2017
"SALT NEXIONE aspire Royal 20 mg/ml";"Refill container/cartridge containing e-liquid.";01553-24-00378;"Pro Vape Ltd";13-08-2024
"FLAE - Flae blue";"Electronic cigarette – Disposable.";08900-23-00001;"Pouches Danmark Aps";12-01-2023
"SMOK - vaporock X1 KIT 2ml";"Kit – Pack containing more than one different e-cigarette device and/or more than one different refill container/cartridge.";03862-25-00087;"IVPS Technology B.V.";20-08-2025
"Kangertech - Ce4 tank, 2ml (3 stk) , clear";"Individual part of electronic cigarette capable of containing e-liquid.";00219-17-00845;"Efuma Aps";14-06-2017
"KUBIK Blue Disposable e-cigarette 20 mg/ml";"Electronic cigarette – Disposable.";01553-23-00147;"Pro Vape Ltd";14-11-2024
"Veev Now Ultra - Azure Blue  1.8%";"Electronic cigarette – Disposable.";00007-25-05996;"Philip Morris Products S.A.";20-06-2025
"SMOK - Mesh rpm 2 coil, 0.16ohm (5 stk)";"Individual part of electronic cigarette capable of containing e-liquid.";00219-20-25492;"Efuma Aps";27-01-2021
"SMOK - Mesh rpm 2 coil, 0,16ohm (5 stk)";"Individual part of electronic cigarette capable of containing e-liquid.";00219-20-25492;"Efuma Aps";27-01-2021
"Kangertech - Ce4 tank, 2ml (3 stk)";"Individual part of electronic cigarette capable of containing e-liquid.";00219-17-00845;"Efuma Aps";14-06-2017
"PUFFI - Puffi Blue";"Electronic cigarette – Disposable.";08900-23-00004;"Pouches Danmark Aps";12-01-2023
"INSANO - Silver 12 MG 50PG/50VG";"Refill container/cartridge containing e-liquid.";00409-22-72862;"HANGSEN Sp.z o.o.";30-03-2022
"Smok - Majesty resin edition 225w tc box mod, purple resin";Other;00219-17-12669;"Efuma Aps";06-10-2017
"PUFFI - PUFFI-Puffi Green 20mg/ml";"Electronic cigarette – Disposable.";08900-23-00006;"Pouches Danmark Aps";13-10-2023
"Puffi - Puffi Brown 20mg/ml";"Electronic cigarette – Disposable.";08900-23-00003;"Pouches Danmark Aps";12-01-2023
"Puffi - Puffi Blue 20mg/ml";"Electronic cigarette – Disposable.";08900-23-00004;"Pouches Danmark Aps";12-01-2023
"PUFFI - PUFFI -Original Menthol 0mg/ml";"Electronic cigarette – Disposable.";08900-23-00005;"Pouches Danmark Aps";13-10-2023
"Lost Vape - Ursa nano pods 0.6ohm (3 stk)";"Individual part of electronic cigarette capable of containing e-liquid.";00219-23-30359;"Efuma Aps";03-10-2023
"Smok - 225w majesty resin edition tc box mod";Other;00219-17-12669;"Efuma Aps";06-10-2017
"Kangertech - Ce4 tank, 2ml (3 stk) , black";"Individual part of electronic cigarette capable of containing e-liquid.";00219-17-00845;"Efuma Aps";14-06-2017
"Flae - Flae blue";"Electronic cigarette – Disposable.";08900-23-00001;"Pouches Danmark Aps";12-01-2023
"Sundbygaard - Brown 18mg/ml";"Refill container/cartridge containing e-liquid.";00219-16-05727;"Efuma Aps";13-01-2017
"INSANO - Deep 6 MG 50PG/50VG";"Refill container/cartridge containing e-liquid.";00409-22-72821;"HANGSEN Sp.z o.o.";30-03-2022
"Veev One - Deep Blue 1.8%";"Individual part of electronic cigarette capable of containing e-liquid.";00007-24-05694;"Philip Morris Products S.A.";29-11-2024
"Veev Now Ultra - Marine Blue 1.8%";"Electronic cigarette – Disposable.";00007-24-05698;"Philip Morris Products S.A.";29-11-2024
"vaporock - vaporock X1 KIT 2ml";"Kit – Pack containing more than one different e-cigarette device and/or more than one different refill container/cartridge.";03862-25-00087;"IVPS Technology B.V.";20-08-2025
"Veev One - Enigma Blue 1.6%";"Individual part of electronic cigarette capable of containing e-liquid.";00007-24-05696;"Philip Morris Products S.A.";29-11-2024
"TRUE VAPOR - Silver 12 mg 50PG/50VG";"Refill container/cartridge containing e-liquid.";00409-22-72862;"HANGSEN Sp.z o.o.";30-03-2022
"PUFFI - Puffi Brown";"Electronic cigarette – Disposable.";08900-23-00003;"Pouches Danmark Aps";12-01-2023
"Brize - Vincibar Pro Pod - Twist 10mg/ml 2ML";"Refill container/cartridge containing e-liquid.";03183-25-40003;"Danish Trade ApS";03-07-2025
"Kangertech - CE4 Atomizer";"Individual part of electronic cigarette capable of containing e-liquid.";00219-17-00845;"Efuma Aps";14-06-2017
"Veev One - Classic 1.8%";"Individual part of electronic cigarette capable of containing e-liquid.";00007-24-05693;"Philip Morris Products S.A.";29-11-2024
"FLAE - Flae Brown";"Electronic cigarette – Disposable.";08900-23-00002;"Pouches Danmark Aps";12-01-2023
"TRUE VAPOR - Frozen 6 mg 50PG/50VG";"Refill container/cartridge containing e-liquid.";00409-22-72821;"HANGSEN Sp.z o.o.";30-03-2022
"SALT CRISTALLITE Classic Brown 20 mg/mL";"Electronic cigarette – Disposable.";01553-23-00172;"Pro Vape Ltd";14-11-2024
"SMOK - 5pcs RPM 2 Mesh Coil 0.16ohm5pcs RPM 2 Mesh Coil 0.16ohm";"Individual part of electronic cigarette capable of containing e-liquid.";00219-20-25492;"Efuma Aps";27-01-2021
"Smok - Majesty resin edition 225w tc box mod";Other;00219-17-12669;"Efuma Aps";06-10-2017
"SALT CRISTALLITE Turquoise 20 mg/mL";"Electronic cigarette – Disposable.";01553-23-00192;"Pro Vape Ltd";14-11-2024
"Holmegaard - Silver brown 12mg 50PG/50VG";"Refill container/cartridge containing e-liquid.";00409-22-72862;"HANGSEN Sp.z o.o.";30-03-2022
"SALT NEXIONE aspire Ocean 20 mg/ml";"Refill container/cartridge containing e-liquid.";01553-24-00377;"Pro Vape Ltd";31-07-2024
"FLAE - Flae Brown 20mg/ml";"Electronic cigarette – Disposable.";08900-23-00002;"Pouches Danmark Aps";12-01-2023
"Veev One - Turquoise 1.8%";"Individual part of electronic cigarette capable of containing e-liquid.";00007-24-05695;"Philip Morris Products S.A.";29-11-2024
"VooPoo - Argus G2 Mini+";"Kit – Pack containing more than one different e-cigarette device and/or more than one different refill container/cartridge.";03183-26-00001;"Danish Trade ApS";10-06-2026
"Veev One - Velvet Black";"Electronic cigarette – Rechargeable, device only Any rechargeable which can also be used as a refillable should be reported under the refillable category.";00007-24-05692;"Philip Morris Products S.A.";29-11-2024
"VooPoo - Vinci PnP X cartridge dtl";Other;03183-26-00002;"Danish Trade ApS";10-06-2026
"Majesty Resin Edition 225W TC Box MOD";Other;00219-17-12669;"Efuma Aps";06-10-2017
"Veev Now Ultra - Beige Classic 1.8%";"Electronic cigarette – Disposable.";00007-24-05697;"Philip Morris Products S.A.";29-11-2024
"Holmegaard - Fz blue 6mg 50PG/50VG";"Refill container/cartridge containing e-liquid.";00409-22-72821;"HANGSEN Sp.z o.o.";30-03-2022
"SMOK - Rpm 2 mesh coil, 0,16ohm (5 stk)";"Individual part of electronic cigarette capable of containing e-liquid.";00219-20-25492;"Efuma Aps";27-01-2021
"Salt Sapphire 20 mg/ml";"Electronic cigarette – Disposable.";01553-20-00114;"Pro Vape Ltd";20-11-2020
"Veev One - Copper Classic 1.6%";"Individual part of electronic cigarette capable of containing e-liquid.";00007-25-05997;"Philip Morris Products S.A.";25-06-2025
"INSANO - Dark 6 MG 50PG/50VG";"Refill container/cartridge containing e-liquid.";00409-22-72701;"HANGSEN Sp.z o.o.";30-03-2022
"SMOK - Majesty carbon fiber tc box mod 225w, purple";Other;00219-17-12654;"Efuma Aps";06-10-2017
"TRUE VAPOR - Classic green 6 mg 70PG/30VG";"Refill container/cartridge containing e-liquid.";00409-16-20291;"HANGSEN Sp.z o.o.";11-11-2016
"Hangsen - Atom Traditional 18mg/ml 70PG/30VG";"Refill container/cartridge containing e-liquid.";00409-16-20583;"HANGSEN Sp.z o.o.";11-11-2016
"INSANO - Green 12 MG 70PG/30VG";"Refill container/cartridge containing e-liquid.";00409-16-20292;"HANGSEN Sp.z o.o.";11-11-2016
"Sundbygaard - Blue mist";"Refill container/cartridge containing e-liquid.";00219-16-05722;"Efuma Aps";13-01-2017
"INSANO - Brown 18 MG 70PG/30VG";"Refill container/cartridge containing e-liquid.";00409-16-20583;"HANGSEN Sp.z o.o.";11-11-2016
"Sundbygaard - Brown blend";"Refill container/cartridge containing e-liquid.";00219-16-05727;"Efuma Aps";13-01-2017
"Geekvape - Aegis legend 3 mod, titanium gray";Other;00219-24-34575;"Efuma Aps";17-07-2024
"SMOK - Majesty carbon fiber tc box mod 225w, blue";Other;00219-17-12654;"Efuma Aps";06-10-2017
"INSANO - Green 18 MG 70PG/30VG";"Refill container/cartridge containing e-liquid.";00409-16-20293;"HANGSEN Sp.z o.o.";11-11-2016
"Hangsen - Atom Spear 12mg/ml 70PG/30VG";"Refill container/cartridge containing e-liquid.";00409-16-20292;"HANGSEN Sp.z o.o.";11-11-2016
"TRUE VAPOR - Classic green 12 mg 70PG/30VG";"Refill container/cartridge containing e-liquid.";00409-16-20292;"HANGSEN Sp.z o.o.";11-11-2016
"Hangsen - Atom Crystal 18mg/ml 70PG/30VG";"Refill container/cartridge containing e-liquid.";00409-16-20263;"HANGSEN Sp.z o.o.";11-11-2016
"Sundbygaard - Brown blend 18mg/ml";"Refill container/cartridge containing e-liquid.";00219-16-05727;"Efuma Aps";13-01-2017
"TRUE VAPOR - Classic blue 6 mg 70PG/30VG";"Refill container/cartridge containing e-liquid.";00409-16-20261;"HANGSEN Sp.z o.o.";11-11-2016
"Geekvape - Aegis legend 3 mod, rainbow";Other;00219-24-34575;"Efuma Aps";17-07-2024
"Holmegaard - Arctic 6mg 70PG/30VG";"Refill container/cartridge containing e-liquid.";00409-16-20291;"HANGSEN Sp.z o.o.";11-11-2016
"INSANO - Blue 18 MG 70PG/30VG";"Refill container/cartridge containing e-liquid.";00409-16-20263;"HANGSEN Sp.z o.o.";11-11-2016
"Holmegaard - Blue 6mg 70PG/30VG";"Refill container/cartridge containing e-liquid.";00409-16-20261;"HANGSEN Sp.z o.o.";11-11-2016
"Holmegaard - Blue 18mg 70PG/30VG";"Refill container/cartridge containing e-liquid.";00409-16-20263;"HANGSEN Sp.z o.o.";11-11-2016
"Smok - Morph 3 mod, black";Other;00219-24-34587;"Efuma Aps";17-07-2024
"True Vapor - Original 18 mg/ml";"Refill container/cartridge containing e-liquid.";00409-16-20583;"HANGSEN Sp.z o.o.";11-11-2016
"Sundbygaard - Blue mist 18mg/ml";"Refill container/cartridge containing e-liquid.";00219-16-05722;"Efuma Aps";13-01-2017
"Hangsen - Atom Spear 6mg/ml 70PG/30VG";"Refill container/cartridge containing e-liquid.";00409-16-20291;"HANGSEN Sp.z o.o.";11-11-2016
"Holmegaard - Blue 12mg 70PG/30VG";"Refill container/cartridge containing e-liquid.";00409-16-20262;"HANGSEN Sp.z o.o.";12-11-2016
"INSANO - Blue 6 MG 70PG/30VG";"Refill container/cartridge containing e-liquid.";00409-16-20261;"HANGSEN Sp.z o.o.";11-11-2016
"Sundbygaard - Brown classic";"Refill container/cartridge containing e-liquid.";00219-16-05682;"Efuma Aps";13-01-2017
"Smok - Morph 3 mod, carbon black";Other;00219-24-34587;"Efuma Aps";17-07-2024
"Majesty Carbon Fiber 225W TC Box MOD";Other;00219-17-12654;"Efuma Aps";06-10-2017
"Hangsen - Atom Crystal 6mg/ml 70PG/30VG";"Refill container/cartridge containing e-liquid.";00409-16-20261;"HANGSEN Sp.z o.o.";11-11-2016
"TRUE VAPOR - Classic blue 18 mg 70PG/30VG";"Refill container/cartridge containing e-liquid.";00409-16-20263;"HANGSEN Sp.z o.o.";11-11-2016
"Holmegaard - Arctic 12mg 70PG/30VG";"Refill container/cartridge containing e-liquid.";00409-16-20292;"HANGSEN Sp.z o.o.";11-11-2016
"INSANO - Green 6 MG 70PG/30VG";"Refill container/cartridge containing e-liquid.";00409-16-20291;"HANGSEN Sp.z o.o.";11-11-2016
"Holmegaard - Arctic 18mg 70PG/30VG";"Refill container/cartridge containing e-liquid.";00409-16-20293;"HANGSEN Sp.z o.o.";11-11-2016
"Geekvape - Aegis legend 3 mod, golden blue";Other;00219-24-34575;"Efuma Aps";17-07-2024
"Geekvape - Aegis legend 3 mod, black";Other;00219-24-34575;"Efuma Aps";17-07-2024
"SMOK - Majesty carbon fiber tc box mod 225w, red";Other;00219-17-12654;"Efuma Aps";06-10-2017
"Holmegaard - Original brown 18mg 70PG/30VG";"Refill container/cartridge containing e-liquid.";00409-16-20583;"HANGSEN Sp.z o.o.";11-11-2016
"TRUE VAPOR - Classic green 18 mg 70PG/30VG";"Refill container/cartridge containing e-liquid.";00409-16-20293;"HANGSEN Sp.z o.o.";11-11-2016
"Sundbygaard - Brown classic 18mg/ml";"Refill container/cartridge containing e-liquid.";00219-16-05682;"Efuma Aps";13-01-2017
"Smok - Morph 3 mod";Other;00219-24-34587;"Efuma Aps";17-07-2024
"Smok - Morph 3 mod, blue";Other;00219-24-34587;"Efuma Aps";17-07-2024
"TRUE VAPOR - Classic blue 12 mg 70PG/30VG";"Refill container/cartridge containing e-liquid.";00409-16-20262;"HANGSEN Sp.z o.o.";12-11-2016
"Hangsen - Atom Crystal 12mg/ml 70PG/30VG";"Refill container/cartridge containing e-liquid.";00409-16-20262;"HANGSEN Sp.z o.o.";12-11-2016
"Geekvape - Aegis legend 3 mod";Other;00219-24-34575;"Efuma Aps";17-07-2024
"SMOK - Majesty carbon fiber tc box mod 225w, black";Other;00219-17-12654;"Efuma Aps";06-10-2017
"INSANO - Blue 12 MG 70PG/30VG";"Refill container/cartridge containing e-liquid.";00409-16-20262;"HANGSEN Sp.z o.o.";12-11-2016
"Hangsen - Atom Spear 18mg/ml 70PG/30VG";"Refill container/cartridge containing e-liquid.";00409-16-20293;"HANGSEN Sp.z o.o.";11-11-2016
"SMOK - Majesty carbon fiber tc box mod 225w";Other;00219-17-12654;"Efuma Aps";06-10-2017
"Hangsen - Atom Usa Mix 18mg/ml 70PG/30VG";"Refill container/cartridge containing e-liquid.";00409-16-20533;"HANGSEN Sp.z o.o.";11-11-2016
"InSano - RY4 18 mg/ml";"Refill container/cartridge containing e-liquid.";00409-16-20483;"HANGSEN Sp.z o.o.";11-11-2016
"Holmegaard - Ry4 18mg 70PG/30VG";"Refill container/cartridge containing e-liquid.";00409-16-20483;"HANGSEN Sp.z o.o.";11-11-2016
"Hangsen - Atom Traditional 12mg/ml 70PG/30VG";"Refill container/cartridge containing e-liquid.";00409-16-20582;"HANGSEN Sp.z o.o.";11-11-2016
"InSano - USA Mix  18mg/ml";"Refill container/cartridge containing e-liquid.";00409-16-20533;"HANGSEN Sp.z o.o.";11-11-2016
"True Vapor - Original 12 mg/ml";"Refill container/cartridge containing e-liquid.";00409-16-20582;"HANGSEN Sp.z o.o.";11-11-2016
"Holmegaard - Virginia 12mg 70PG/30VG";"Refill container/cartridge containing e-liquid.";00409-16-20552;"HANGSEN Sp.z o.o.";11-11-2016
"Hangsen - Atom Virginia 12mg/ml 70PG/30VG";"Refill container/cartridge containing e-liquid.";00409-16-20552;"HANGSEN Sp.z o.o.";11-11-2016
"Hangsen - Atom RY4 18 mg/ml 70%PG30%VG";"Refill container/cartridge containing e-liquid.";00409-16-20483;"HANGSEN Sp.z o.o.";11-11-2016
"Holmegaard - Usa mix 12mg 70PG/30VG";"Refill container/cartridge containing e-liquid.";00409-16-20532;"HANGSEN Sp.z o.o.";11-11-2016
"Hangsen - Atom Ry4 18mg/ml 70PG/30VG";"Refill container/cartridge containing e-liquid.";00409-16-20483;"HANGSEN Sp.z o.o.";11-11-2016
"True Vapor - RY4 18 mg/ml";"Refill container/cartridge containing e-liquid.";00409-16-20483;"HANGSEN Sp.z o.o.";11-11-2016
"Holmegaard - RY4 18mg 70PG/30VG";"Refill container/cartridge containing e-liquid.";00409-16-20483;"HANGSEN Sp.z o.o.";11-11-2016
"INSANO - Red USA Mix 18 mg/ml";"Refill container/cartridge containing e-liquid.";00409-16-20423;"HANGSEN Sp.z o.o.";11-11-2016
"True Vapor - USA Mix  6mg/ml";"Refill container/cartridge containing e-liquid.";00409-16-20531;"HANGSEN Sp.z o.o.";11-11-2016
"Holmegaard - USA Mix 18mg 70PG/30VG";"Refill container/cartridge containing e-liquid.";00409-16-20533;"HANGSEN Sp.z o.o.";11-11-2016
"True Vapor - USA Mix 12mg/ml";"Refill container/cartridge containing e-liquid.";00409-16-20532;"HANGSEN Sp.z o.o.";11-11-2016
"True Vapor - USA Mix  18mg/ml";"Refill container/cartridge containing e-liquid.";00409-16-20533;"HANGSEN Sp.z o.o.";11-11-2016
"Hangsen - Atom Traditional 6mg/ml 70PG/30VG";"Refill container/cartridge containing e-liquid.";00409-16-20581;"HANGSEN Sp.z o.o.";11-11-2016
"Holmegaard - Red usa mix 18mg 70PG/30VG";"Refill container/cartridge containing e-liquid.";00409-16-20423;"HANGSEN Sp.z o.o.";11-11-2016
"INSANO - Brown 6 MG 70PG/30VG";"Refill container/cartridge containing e-liquid.";00409-16-20581;"HANGSEN Sp.z o.o.";11-11-2016
"Holmegaard - Usa mix 18mg 70PG/30VG";"Refill container/cartridge containing e-liquid.";00409-16-20533;"HANGSEN Sp.z o.o.";11-11-2016
"Hangsen - Atom Usa Mix 12mg/ml 70PG/30VG";"Refill container/cartridge containing e-liquid.";00409-16-20532;"HANGSEN Sp.z o.o.";11-11-2016
"InSano - Virginia 12mg/ml";"Refill container/cartridge containing e-liquid.";00409-16-20552;"HANGSEN Sp.z o.o.";11-11-2016
"InSano - USA Mix 12mg/ml";"Refill container/cartridge containing e-liquid.";00409-16-20532;"HANGSEN Sp.z o.o.";11-11-2016
"SMARTDAMP - Red USA Mix 18mg/ml 70%PG30%VG";"Refill container/cartridge containing e-liquid.";00409-16-20423;"HANGSEN Sp.z o.o.";11-11-2016
"Holmegaard - Usa mix 6mg 70PG/30VG";"Refill container/cartridge containing e-liquid.";00409-16-20531;"HANGSEN Sp.z o.o.";11-11-2016
"Holmegaard - Red USA Mix 18mg 70PG/30VG";"Refill container/cartridge containing e-liquid.";00409-16-20423;"HANGSEN Sp.z o.o.";11-11-2016
"SMARTDAMP - RY4 18 mg/ml";"Refill container/cartridge containing e-liquid.";00409-16-20483;"HANGSEN Sp.z o.o.";11-11-2016
"TRUE VAPOR - Virginia 12mg 70%PG30%VG";"Refill container/cartridge containing e-liquid.";00409-16-20552;"HANGSEN Sp.z o.o.";11-11-2016
"Holmegaard - USA Mix 6mg 70PG/30VG";"Refill container/cartridge containing e-liquid.";00409-16-20531;"HANGSEN Sp.z o.o.";11-11-2016
"Holmegaard - Original brown 6mg 70PG/30VG";"Refill container/cartridge containing e-liquid.";00409-16-20581;"HANGSEN Sp.z o.o.";11-11-2016
"SMARTDAMP - USA MIX 12mg/ml";"Refill container/cartridge containing e-liquid.";00409-16-20532;"HANGSEN Sp.z o.o.";11-11-2016
"Hangsen - Atom USA Mix 12mg/ml 70%PG30%VG";"Refill container/cartridge containing e-liquid.";00409-16-20532;"HANGSEN Sp.z o.o.";11-11-2016
