year,product,scope,flow,partner,partner_label,partner_role,value_eur,rank,share_of_country_partner_rows_pct,source_url,boundary
2025,24041910,broad_nicotine_free_tobacco_substitute_inhalation_proxy,import,IT,Italy (incl. San Marino 'SM' -> 1993),intra-EU country of consignment,14,5,0.075265,https://ec.europa.eu/eurostat/api/comext/dissemination/statistics/1.0/data/DS-045409?freq=A&reporter=NL&product=85434000&product=24041200&product=24041910&product=24041990&flow=1&flow=2&indicators=VALUE_IN_EUROS&time=2025&lang=en,partner share excludes Eurostat aggregate partner codes; role depends on intra/extra-EU flow convention
2025,24041910,broad_nicotine_free_tobacco_substitute_inhalation_proxy,export,GB,United Kingdom,extra-EU final destination,4423,1,100.0,https://ec.europa.eu/eurostat/api/comext/dissemination/statistics/1.0/data/DS-045409?freq=A&reporter=NL&product=85434000&product=24041200&product=24041910&product=24041990&flow=1&flow=2&indicators=VALUE_IN_EUROS&time=2025&lang=en,partner share excludes Eurostat aggregate partner codes; role depends on intra/extra-EU flow convention
2025,24041990,broad_other_substitute_inhalation_proxy,import,DE,Germany (incl. German Democratic Republic 'DD' from 1991),intra-EU country of consignment,26191459,1,88.406583,https://ec.europa.eu/eurostat/api/comext/dissemination/statistics/1.0/data/DS-045409?freq=A&reporter=NL&product=85434000&product=24041200&product=24041910&product=24041990&flow=1&flow=2&indicators=VALUE_IN_EUROS&time=2025&lang=en,partner share excludes Eurostat aggregate partner codes; role depends on intra/extra-EU flow convention
2025,24041990,broad_other_substitute_inhalation_proxy,import,CN,China,extra-EU country of origin,2831217,2,9.556483,https://ec.europa.eu/eurostat/api/comext/dissemination/statistics/1.0/data/DS-045409?freq=A&reporter=NL&product=85434000&product=24041200&product=24041910&product=24041990&flow=1&flow=2&indicators=VALUE_IN_EUROS&time=2025&lang=en,partner share excludes Eurostat aggregate partner codes; role depends on intra/extra-EU flow convention
2025,24041990,broad_other_substitute_inhalation_proxy,import,FR,"France (incl. Saint Barthélemy 'BL' -> 2012; incl. French Guiana 'GF', Guadeloupe 'GP', Martinique 'MQ', Réunion 'RE' from 1997; incl. Mayotte 'YT' from 2014)",intra-EU country of consignment,217241,3,0.733275,https://ec.europa.eu/eurostat/api/comext/dissemination/statistics/1.0/data/DS-045409?freq=A&reporter=NL&product=85434000&product=24041200&product=24041910&product=24041990&flow=1&flow=2&indicators=VALUE_IN_EUROS&time=2025&lang=en,partner share excludes Eurostat aggregate partner codes; role depends on intra/extra-EU flow convention
2025,24041990,broad_other_substitute_inhalation_proxy,import,ID,Indonesia (incl. East Timor 'TP' from 1977 -> 2000),extra-EU country of origin,162181,4,0.547425,https://ec.europa.eu/eurostat/api/comext/dissemination/statistics/1.0/data/DS-045409?freq=A&reporter=NL&product=85434000&product=24041200&product=24041910&product=24041990&flow=1&flow=2&indicators=VALUE_IN_EUROS&time=2025&lang=en,partner share excludes Eurostat aggregate partner codes; role depends on intra/extra-EU flow convention
2025,24041990,broad_other_substitute_inhalation_proxy,import,PL,Poland,intra-EU country of consignment,60795,5,0.205207,https://ec.europa.eu/eurostat/api/comext/dissemination/statistics/1.0/data/DS-045409?freq=A&reporter=NL&product=85434000&product=24041200&product=24041910&product=24041990&flow=1&flow=2&indicators=VALUE_IN_EUROS&time=2025&lang=en,partner share excludes Eurostat aggregate partner codes; role depends on intra/extra-EU flow convention
2025,24041990,broad_other_substitute_inhalation_proxy,export,DE,Germany (incl. German Democratic Republic 'DD' from 1991),intra-EU destination member state,25372526,1,86.254927,https://ec.europa.eu/eurostat/api/comext/dissemination/statistics/1.0/data/DS-045409?freq=A&reporter=NL&product=85434000&product=24041200&product=24041910&product=24041990&flow=1&flow=2&indicators=VALUE_IN_EUROS&time=2025&lang=en,partner share excludes Eurostat aggregate partner codes; role depends on intra/extra-EU flow convention
2025,24041990,broad_other_substitute_inhalation_proxy,export,BE,Belgium (incl. Luxembourg 'LU' -> 1998),intra-EU destination member state,1835913,2,6.24126,https://ec.europa.eu/eurostat/api/comext/dissemination/statistics/1.0/data/DS-045409?freq=A&reporter=NL&product=85434000&product=24041200&product=24041910&product=24041990&flow=1&flow=2&indicators=VALUE_IN_EUROS&time=2025&lang=en,partner share excludes Eurostat aggregate partner codes; role depends on intra/extra-EU flow convention
2025,24041990,broad_other_substitute_inhalation_proxy,export,SI,Slovenia,intra-EU destination member state,694028,3,2.359376,https://ec.europa.eu/eurostat/api/comext/dissemination/statistics/1.0/data/DS-045409?freq=A&reporter=NL&product=85434000&product=24041200&product=24041910&product=24041990&flow=1&flow=2&indicators=VALUE_IN_EUROS&time=2025&lang=en,partner share excludes Eurostat aggregate partner codes; role depends on intra/extra-EU flow convention
2025,24041990,broad_other_substitute_inhalation_proxy,export,GB,United Kingdom,extra-EU final destination,603846,4,2.052799,https://ec.europa.eu/eurostat/api/comext/dissemination/statistics/1.0/data/DS-045409?freq=A&reporter=NL&product=85434000&product=24041200&product=24041910&product=24041990&flow=1&flow=2&indicators=VALUE_IN_EUROS&time=2025&lang=en,partner share excludes Eurostat aggregate partner codes; role depends on intra/extra-EU flow convention
2025,24041990,broad_other_substitute_inhalation_proxy,export,FR,"France (incl. Saint Barthélemy 'BL' -> 2012; incl. French Guiana 'GF', Guadeloupe 'GP', Martinique 'MQ', Réunion 'RE' from 1997; incl. Mayotte 'YT' from 2014)",intra-EU destination member state,321173,5,1.091841,https://ec.europa.eu/eurostat/api/comext/dissemination/statistics/1.0/data/DS-045409?freq=A&reporter=NL&product=85434000&product=24041200&product=24041910&product=24041990&flow=1&flow=2&indicators=VALUE_IN_EUROS&time=2025&lang=en,partner share excludes Eurostat aggregate partner codes; role depends on intra/extra-EU flow convention
